bilet	vopros	order_number	user_count	correct
1	1	1	4560	4193
1	1	2	1525	1487
1	1	3	817	800
1	1	4	493	485
1	1	5	366	362
1	1	6	268	263
1	1	7	206	205
1	1	8	169	168
1	1	9	124	123
1	1	10	99	98
1	1	11	79	79
1	1	12	67	66
1	1	13	57	57
1	1	14	45	45
1	1	15	36	36
1	1	16	28	27
1	1	17	20	20
1	1	18	17	17
1	1	19	14	14
1	1	20	12	12
1	1	21	10	10
1	1	22	9	9
1	1	23	8	8
1	1	24	5	5
1	1	25	4	4
1	1	26	4	4
1	1	27	4	4
1	1	28	4	4
1	1	29	3	3
1	1	30	2	2
1	1	31	2	2
1	1	32	2	2
1	1	33	1	1
1	1	34	1	1
1	1	35	1	0
1	1	36	1	1
1	1	37	1	1
1	1	38	1	1
1	1	39	1	1
1	1	40	1	1
1	1	41	1	1
1	1	42	1	1
1	1	43	1	1
1	1	44	1	1
1	1	45	1	1
1	2	1	4498	3872
1	2	2	1390	1283
1	2	3	730	678
1	2	4	467	446
1	2	5	332	312
1	2	6	246	237
1	2	7	189	181
1	2	8	155	147
1	2	9	117	115
1	2	10	92	90
1	2	11	77	76
1	2	12	60	58
1	2	13	46	45
1	2	14	41	41
1	2	15	28	28
1	2	16	24	24
1	2	17	18	18
1	2	18	15	15
1	2	19	12	12
1	2	20	10	10
1	2	21	10	10
1	2	22	8	8
1	2	23	7	7
1	2	24	4	4
1	2	25	4	4
1	2	26	4	4
1	2	27	4	4
1	2	28	4	4
1	2	29	4	4
1	2	30	3	3
1	2	31	3	3
1	2	32	3	3
1	2	33	3	3
1	2	34	2	2
1	2	35	2	2
1	2	36	2	2
1	2	37	2	2
1	2	38	1	1
1	2	39	1	1
1	2	40	1	1
1	3	1	4407	3752
1	3	2	1359	1266
1	3	3	697	659
1	3	4	448	429
1	3	5	317	309
1	3	6	230	221
1	3	7	169	163
1	3	8	138	132
1	3	9	104	102
1	3	10	83	83
1	3	11	69	67
1	3	12	54	52
1	3	13	44	44
1	3	14	38	37
1	3	15	29	28
1	3	16	22	22
1	3	17	14	14
1	3	18	11	11
1	3	19	9	9
1	3	20	9	9
1	3	21	8	8
1	3	22	6	6
1	3	23	6	6
1	3	24	5	5
1	3	25	5	5
1	3	26	5	5
1	3	27	5	5
1	3	28	5	5
1	3	29	3	3
1	3	30	3	3
1	3	31	3	3
1	3	32	3	3
1	3	33	2	2
1	3	34	2	1
1	3	35	2	2
1	3	36	2	2
1	3	37	2	2
1	3	38	1	1
1	3	39	1	1
1	4	1	4291	2753
1	4	2	1333	1089
1	4	3	701	615
1	4	4	452	404
1	4	5	326	302
1	4	6	246	226
1	4	7	186	172
1	4	8	148	136
1	4	9	107	100
1	4	10	81	77
1	4	11	68	61
1	4	12	58	54
1	4	13	48	43
1	4	14	41	37
1	4	15	29	27
1	4	16	22	21
1	4	17	16	16
1	4	18	13	13
1	4	19	11	11
1	4	20	10	10
1	4	21	10	10
1	4	22	8	8
1	4	23	6	6
1	4	24	5	5
1	4	25	5	5
1	4	26	5	5
1	4	27	5	5
1	4	28	5	5
1	4	29	3	3
1	4	30	3	2
1	4	31	3	3
1	4	32	3	3
1	4	33	3	2
1	4	34	3	3
1	4	35	3	3
1	4	36	3	3
1	4	37	2	2
1	4	38	1	1
1	4	39	1	1
1	4	40	1	1
1	4	41	1	1
1	4	42	1	0
1	4	43	1	1
1	5	1	3837	3220
1	5	2	1275	1196
1	5	3	675	645
1	5	4	425	408
1	5	5	303	293
1	5	6	221	214
1	5	7	165	157
1	5	8	126	120
1	5	9	95	91
1	5	10	79	74
1	5	11	60	58
1	5	12	51	48
1	5	13	44	42
1	5	14	29	27
1	5	15	18	18
1	5	16	15	15
1	5	17	14	14
1	5	18	12	12
1	5	19	10	10
1	5	20	10	9
1	5	21	9	8
1	5	22	7	7
1	5	23	6	5
1	5	24	5	5
1	5	25	5	4
1	5	26	4	3
1	5	27	4	4
1	5	28	4	4
1	5	29	3	3
1	5	30	3	3
1	5	31	2	2
1	5	32	1	0
1	5	33	1	1
1	5	34	1	1
1	5	35	1	0
1	5	36	1	1
1	5	37	1	1
1	6	1	3788	3600
1	6	2	1243	1213
1	6	3	658	650
1	6	4	406	400
1	6	5	284	282
1	6	6	209	205
1	6	7	151	146
1	6	8	111	107
1	6	9	83	80
1	6	10	67	66
1	6	11	52	51
1	6	12	44	43
1	6	13	35	35
1	6	14	22	22
1	6	15	17	17
1	6	16	16	16
1	6	17	15	15
1	6	18	12	12
1	6	19	10	10
1	6	20	9	9
1	6	21	8	8
1	6	22	6	5
1	6	23	5	5
1	6	24	5	5
1	6	25	5	5
1	6	26	4	4
1	6	27	4	4
1	6	28	4	4
1	6	29	3	2
1	6	30	3	2
1	6	31	2	1
1	6	32	2	2
1	6	33	1	1
1	6	34	1	1
1	6	35	1	1
1	6	36	1	1
1	6	37	1	1
1	6	38	1	1
1	6	39	1	1
1	6	40	1	1
1	6	41	1	1
1	6	42	1	1
1	6	43	1	1
1	6	44	1	1
1	6	45	1	1
1	6	46	1	1
1	7	1	3575	2907
1	7	2	1131	1011
1	7	3	603	548
1	7	4	382	347
1	7	5	272	257
1	7	6	189	177
1	7	7	137	126
1	7	8	100	94
1	7	9	76	70
1	7	10	59	56
1	7	11	47	47
1	7	12	41	41
1	7	13	29	27
1	7	14	20	18
1	7	15	17	16
1	7	16	16	16
1	7	17	14	11
1	7	18	13	12
1	7	19	10	8
1	7	20	9	9
1	7	21	7	7
1	7	22	5	5
1	7	23	5	5
1	7	24	4	4
1	7	25	4	4
1	7	26	4	4
1	7	27	4	4
1	7	28	3	2
1	7	29	2	1
1	7	30	2	2
1	7	31	1	1
1	7	32	1	1
1	7	33	1	1
1	7	34	1	1
1	7	35	1	1
1	7	36	1	1
1	7	37	1	1
1	7	38	1	1
1	7	39	1	1
1	7	40	1	1
1	7	41	1	1
1	7	42	1	1
1	7	43	1	1
1	7	44	1	1
1	7	45	1	1
1	7	46	1	1
1	7	47	1	1
1	7	48	1	1
1	7	49	1	1
1	8	1	3534	3016
1	8	2	1109	1006
1	8	3	586	560
1	8	4	361	351
1	8	5	253	242
1	8	6	180	173
1	8	7	133	130
1	8	8	97	97
1	8	9	72	72
1	8	10	54	52
1	8	11	44	43
1	8	12	36	35
1	8	13	26	26
1	8	14	16	16
1	8	15	13	13
1	8	16	12	12
1	8	17	11	11
1	8	18	8	8
1	8	19	6	6
1	8	20	6	6
1	8	21	5	5
1	8	22	5	5
1	8	23	5	5
1	8	24	4	4
1	8	25	4	4
1	8	26	4	4
1	8	27	3	2
1	8	28	3	3
1	8	29	1	1
1	8	30	1	1
1	8	31	1	1
1	8	32	1	1
1	8	33	1	1
1	8	34	1	1
1	8	35	1	1
1	8	36	1	1
1	8	37	1	1
