bilet	vopros	order_number	user_count	correct
1	1	1	35616	32446
1	1	2	13065	12601
1	1	3	7349	7102
1	1	4	4743	4627
1	1	5	3376	3317
1	1	6	2469	2416
1	1	7	1927	1904
1	1	8	1515	1493
1	1	9	1182	1171
1	1	10	947	935
1	1	11	775	769
1	1	12	642	634
1	1	13	546	537
1	1	14	455	452
1	1	15	387	384
1	2	1	36145	31049
1	2	2	11267	10365
1	2	3	6201	5780
1	2	4	4114	3898
1	2	5	2904	2733
1	2	6	2162	2065
1	2	7	1673	1580
1	2	8	1335	1270
1	2	9	1065	1029
1	2	10	874	841
1	2	11	711	686
1	2	12	579	551
1	2	13	475	460
1	2	14	409	395
1	2	15	341	328
1	3	1	35243	29420
1	3	2	10963	10188
1	3	3	5953	5644
1	3	4	3901	3744
1	3	5	2753	2654
1	3	6	2034	1978
1	3	7	1546	1501
1	3	8	1237	1197
1	3	9	972	952
1	3	10	793	774
1	3	11	636	623
1	3	12	518	503
1	3	13	432	426
1	3	14	364	358
1	3	15	317	310
1	4	1	34094	21520
1	4	2	10809	8831
1	4	3	5958	5197
1	4	4	3964	3552
1	4	5	2836	2585
1	4	6	2108	1956
1	4	7	1610	1482
1	4	8	1294	1206
1	4	9	1024	962
1	4	10	816	771
1	4	11	649	610
1	4	12	541	504
1	4	13	447	418
1	4	14	371	349
1	4	15	314	294
1	5	1	29101	24069
1	5	2	10374	9724
1	5	3	5748	5481
1	5	4	3767	3621
1	5	5	2665	2569
1	5	6	1966	1900
1	5	7	1463	1418
1	5	8	1155	1124
1	5	9	913	883
1	5	10	723	699
1	5	11	583	565
1	5	12	489	473
1	5	13	416	400
1	5	14	321	310
1	5	15	265	261
1	6	1	28518	26888
1	6	2	10221	9974
1	6	3	5721	5625
1	6	4	3753	3696
1	6	5	2625	2595
1	6	6	1908	1881
1	6	7	1433	1413
1	6	8	1130	1110
1	6	9	892	880
1	6	10	697	693
1	6	11	546	542
1	6	12	450	443
1	6	13	385	383
1	6	14	305	305
1	6	15	257	255
1	7	1	27032	21659
1	7	2	9275	8309
1	7	3	5103	4629
1	7	4	3367	3084
1	7	5	2387	2187
1	7	6	1717	1603
1	7	7	1297	1196
1	7	8	1021	941
1	7	9	798	727
1	7	10	619	577
1	7	11	497	460
1	7	12	415	390
1	7	13	343	313
1	7	14	279	247
1	7	15	232	212
1	8	1	26752	22467
1	8	2	9127	8400
1	8	3	4953	4685
1	8	4	3221	3086
1	8	5	2243	2147
1	8	6	1620	1551
1	8	7	1220	1176
1	8	8	948	925
1	8	9	734	711
1	8	10	574	547
1	8	11	468	451
1	8	12	384	364
1	8	13	315	303
1	8	14	256	243
1	8	15	217	210
1	9	1	26595	18622
1	9	2	9132	7711
1	9	3	5054	4395
1	9	4	3340	2938
1	9	5	2349	2079
1	9	6	1736	1562
1	9	7	1311	1170
1	9	8	1044	938
1	9	9	813	737
1	9	10	636	577
1	9	11	511	468
1	9	12	416	375
1	9	13	341	301
1	9	14	281	261
1	9	15	236	217
1	10	1	26999	20508
1	10	2	9626	8633
1	10	3	5436	5017
1	10	4	3549	3282
1	10	5	2489	2326
1	10	6	1843	1725
1	10	7	1369	1287
1	10	8	1040	980
1	10	9	826	766
1	10	10	633	602
1	10	11	499	464
1	10	12	411	382
1	10	13	333	304
1	10	14	278	260
1	10	15	235	222
1	11	1	27131	22092
1	11	2	9556	8896
1	11	3	5323	5105
1	11	4	3433	3298
1	11	5	2372	2304
1	11	6	1719	1680
1	11	7	1261	1225
1	11	8	973	956
1	11	9	769	754
1	11	10	569	553
1	11	11	452	441
1	11	12	381	373
1	11	13	310	303
1	11	14	259	257
1	11	15	219	213
1	12	1	27987	21381
1	12	2	9907	8789
1	12	3	5543	5015
1	12	4	3668	3337
1	12	5	2576	2330
1	12	6	1894	1713
1	12	7	1398	1265
1	12	8	1072	984
1	12	9	836	768
1	12	10	634	576
1	12	11	520	472
1	12	12	429	403
1	12	13	354	320
1	12	14	304	277
1	12	15	255	235
1	13	1	30712	24923
1	13	2	9137	8082
1	13	3	4837	4274
1	13	4	3093	2774
1	13	5	2106	1913
1	13	6	1510	1396
1	13	7	1109	1017
1	13	8	844	768
1	13	9	662	603
1	13	10	518	478
1	13	11	416	388
1	13	12	344	319
1	13	13	272	258
1	13	14	234	216
1	13	15	191	179
1	14	1	30093	26307
1	14	2	9043	8368
1	14	3	4742	4445
1	14	4	3021	2842
1	14	5	2045	1949
1	14	6	1465	1395
1	14	7	1078	1033
1	14	8	818	781
1	14	9	627	602
1	14	10	492	475
1	14	11	392	375
1	14	12	325	308
1	14	13	256	248
1	14	14	220	211
1	14	15	180	169
1	15	1	29858	23448
1	15	2	9021	7821
1	15	3	4777	4209
1	15	4	3071	2702
1	15	5	2138	1882
1	15	6	1545	1369
1	15	7	1168	1044
1	15	8	906	807
1	15	9	706	630
1	15	10	561	507
1	15	11	457	417
1	15	12	374	334
1	15	13	300	270
1	15	14	258	233
1	15	15	210	194
1	16	1	26822	24113
1	16	2	9516	9299
1	16	3	5079	4989
1	16	4	3149	3114
1	16	5	2120	2098
1	16	6	1500	1492
1	16	7	1085	1076
1	16	8	804	797
1	16	9	612	607
1	16	10	474	470
1	16	11	390	383
1	16	12	325	322
1	16	13	267	265
1	16	14	216	215
1	16	15	169	169
1	17	1	26232	23907
1	17	2	9241	8857
1	17	3	5042	4908
1	17	4	3226	3116
1	17	5	2192	2109
1	17	6	1560	1496
1	17	7	1118	1081
1	17	8	833	804
1	17	9	662	640
1	17	10	504	477
1	17	11	422	403
1	17	12	341	325
1	17	13	280	258
1	17	14	228	217
1	17	15	187	183
1	18	1	25576	20101
1	18	2	8310	7822
1	18	3	4323	4125
1	18	4	2722	2636
1	18	5	1828	1765
1	18	6	1294	1267
1	18	7	918	894
1	18	8	689	677
1	18	9	537	524
1	18	10	404	396
1	18	11	331	328
1	18	12	262	252
1	18	13	212	206
1	18	14	172	169
1	18	15	136	133
1	19	1	25344	21947
1	19	2	8250	7807
1	19	3	4290	4119
1	19	4	2672	2580
1	19	5	1772	1722
1	19	6	1253	1222
1	19	7	894	859
1	19	8	658	648
1	19	9	524	508
1	19	10	402	392
1	19	11	327	320
1	19	12	264	256
1	19	13	217	212
1	19	14	175	170
1	19	15	136	135
1	20	1	25248	22246
